Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyResponseStatusCode(response1, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:24,2022-02-15 18:02:24,0.001s,PASSED
"idBoardVar = getElementPropertyValue(response1, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:24,2022-02-15 18:02:24,0.000s,PASSED
board_response = response1.getResponseText(),,,,2022-02-15 18:02:24,2022-02-15 18:02:24,0.000s,PASSED
"println(""
	"" + board_response + ""
	"")",,,,2022-02-15 18:02:24,2022-02-15 18:02:24,0.000s,PASSED
"response2 = sendRequest(findTestObject(""Trello/List/Create a new list"", [""urlList"":url_List, ""nameofList"":nameofListVar, ""idBoard"":idBoardVar]))",,,,2022-02-15 18:02:24,2022-02-15 18:02:25,0.793s,PASSED
"verifyResponseStatusCode(response2, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:25,2022-02-15 18:02:25,0.000s,PASSED
"listIdVar = getElementPropertyValue(response2, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:25,2022-02-15 18:02:25,0.016s,PASSED
"response3 = sendRequest(findTestObject(""Trello/Create card"", [""urlCard"":url_Card, ""listId"":listIdVar, ""cardName"":cardNameVar]))",,,,2022-02-15 18:02:25,2022-02-15 18:02:26,0.787s,PASSED
"verifyResponseStatusCode(response3, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:26,2022-02-15 18:02:26,0.001s,PASSED
card_response = response3.getResponseText(),,,,2022-02-15 18:02:26,2022-02-15 18:02:26,0.000s,PASSED
"println(""
	"" + card_response + ""
	"")",,,,2022-02-15 18:02:26,2022-02-15 18:02:26,0.000s,PASSED
"cardIdVar = getElementPropertyValue(response3, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:26,2022-02-15 18:02:26,0.000s,PASSED
"response4 = sendRequest(findTestObject(""Trello/Label on Card/Create a Label on Card"", [""urlCard"":url_Card, ""cardId"":cardIdVar, ""labelColor"":labelColorVar]))",,,,2022-02-15 18:02:26,2022-02-15 18:02:26,0.735s,PASSED
"verifyResponseStatusCode(response4, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:26,2022-02-15 18:02:26,0.000s,PASSED
"containsString(response4, labelColorVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:26,2022-02-15 18:02:26,0.000s,PASSED
"labelIdVar = getElementPropertyValue(response4, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:26,2022-02-15 18:02:26,0.015s,PASSED
"response5 = sendRequest(findTestObject(""Trello/Label on Card/Get a data from Label on Card"", [""urlCard"":url_Card, ""cardId"":cardIdVar, ""labelId"":labelIdVar]))",,,,2022-02-15 18:02:26,2022-02-15 18:02:27,0.665s,PASSED
"verifyResponseStatusCode(response5, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:27,2022-02-15 18:02:27,0.001s,PASSED
"response6 = sendRequest(findTestObject(""Trello/Label on Card/Delete a Label on Card"", [""urlCard"":url_Card, ""labelId"":labelIdVar, ""cardId"":cardIdVar, ""labelColor"":labelColorVar]))",,,,2022-02-15 18:02:27,2022-02-15 18:02:28,0.713s,PASSED
"verifyResponseStatusCode(response6, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:28,2022-02-15 18:02:28,0.001s,PASSED
,,,,,,,
Test Cases/Trello Api Automation/TC12 Create a Label on Board - Update the Label - Delete the Label,,,,2022-02-15 18:02:28,2022-02-15 18:02:31,3.280s,PASSED
"labelColorVar = ""yellow""",,,,2022-02-15 18:02:28,2022-02-15 18:02:28,0.000s,PASSED
"deleteParticularLabelRespMsg = ""{""_value"":null}""",,,,2022-02-15 18:02:28,2022-02-15 18:02:28,0.000s,PASSED
"boardNameVar = ""Create a Label on a Board """,,,,2022-02-15 18:02:28,2022-02-15 18:02:28,0.000s,PASSED
"labelNameVar = ""This is label""",,,,2022-02-15 18:02:28,2022-02-15 18:02:28,0.000s,PASSED
"updatedNameVar = ""Updated name label""",,,,2022-02-15 18:02:28,2022-02-15 18:02:28,0.000s,PASSED
"response1 = sendRequest(findTestObject(""Trello/Board Creation"", [""urlBoard"":url_Board, ""boardName"":boardNameVar]))",,,,2022-02-15 18:02:28,2022-02-15 18:02:29,0.805s,PASSED
"verifyResponseStatusCode(response1, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:29,2022-02-15 18:02:29,0.000s,PASSED
"containsString(response1, boardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:29,2022-02-15 18:02:29,0.000s,PASSED
"idBoardVar = getElementPropertyValue(response1, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:29,2022-02-15 18:02:29,0.016s,PASSED
"response2 = sendRequest(findTestObject(""Trello/Label on Board/Create a Label on Board"", [""urlBoard"":url_Board, ""idBoard"":idBoardVar, ""name"":labelNameVar, ""color"":labelColorVar]))",,,,2022-02-15 18:02:29,2022-02-15 18:02:30,0.759s,PASSED
"verifyResponseStatusCode(response2, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:30,2022-02-15 18:02:30,0.004s,PASSED
"containsString(response2, labelColorVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:30,2022-02-15 18:02:30,0.002s,PASSED
