Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"response3 = sendRequest(findTestObject(""Trello/Label on Board/Update the Created Label on a Board"", [""idLabel"":labelIdVar, ""updatedName"":updatedNameVar]))",,,,2022-02-09 19:23:03,2022-02-09 19:23:04,0.783s,PASSED
"verifyResponseStatusCode(response3, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:04,2022-02-09 19:23:04,0.001s,PASSED
"containsString(response3, updatedNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:04,2022-02-09 19:23:04,0.000s,PASSED
"response4 = sendRequest(findTestObject(""Trello/Label on Board/Delete the Created Label"", [""idLabel"":labelIdVar]))",,,,2022-02-09 19:23:04,2022-02-09 19:23:05,0.890s,PASSED
"verifyResponseStatusCode(response4, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:05,2022-02-09 19:23:05,0.000s,PASSED
,,,,,,,
Test Cases/Trello Api Automation/TC13 Create a Webhook,,,,2022-02-09 19:23:05,2022-02-09 19:23:09,4.529s,PASSED
"boardNameVar = ""Trello Board Creation """,,,,2022-02-09 19:23:05,2022-02-09 19:23:05,0.001s,PASSED
"nameofListVar = ""My List""",,,,2022-02-09 19:23:05,2022-02-09 19:23:05,0.000s,PASSED
"cardNameVar = ""My card""",,,,2022-02-09 19:23:05,2022-02-09 19:23:05,0.000s,PASSED
"response1 = sendRequest(findTestObject(""Trello/Board Creation"", [""urlBoard"":url_Board, ""boardName"":boardNameVar]))",,,,2022-02-09 19:23:05,2022-02-09 19:23:06,0.749s,PASSED
"verifyResponseStatusCode(response1, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:06,2022-02-09 19:23:06,0.000s,PASSED
"idBoardVar = getElementPropertyValue(response1, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:06,2022-02-09 19:23:06,0.016s,PASSED
board_response = response1.getResponseText(),,,,2022-02-09 19:23:06,2022-02-09 19:23:06,0.000s,PASSED
"println(""
	"" + board_response + ""
	"")",,,,2022-02-09 19:23:06,2022-02-09 19:23:06,0.000s,PASSED
"containsString(response1, boardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:06,2022-02-09 19:23:06,0.010s,PASSED
"response4 = sendRequest(findTestObject(""Trello/Webhook/Create a webhook"", [""idBoard"":idBoardVar]))",,,,2022-02-09 19:23:06,2022-02-09 19:23:07,1.367s,PASSED
"verifyResponseStatusCode(response4, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:07,2022-02-09 19:23:07,0.000s,PASSED
"response2 = sendRequest(findTestObject(""Trello/List/Create a new list"", [""urlList"":url_List, ""nameofList"":nameofListVar, ""idBoard"":idBoardVar]))",,,,2022-02-09 19:23:07,2022-02-09 19:23:09,1.368s,PASSED
"verifyResponseStatusCode(response2, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:09,2022-02-09 19:23:09,0.000s,PASSED
"containsString(response2, nameofListVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:09,2022-02-09 19:23:09,0.000s,PASSED
"listIdVar = getElementPropertyValue(response2, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:09,2022-02-09 19:23:09,0.016s,PASSED
"response3 = sendRequest(findTestObject(""Trello/Create card"", [""urlCard"":url_Card, ""listId"":listIdVar, ""cardName"":cardNameVar]))",,,,2022-02-09 19:23:09,2022-02-09 19:23:09,0.734s,PASSED
"verifyResponseStatusCode(response3, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:09,2022-02-09 19:23:09,0.000s,PASSED
"idCardVar = getElementPropertyValue(response3, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:09,2022-02-09 19:23:09,0.016s,PASSED
card_response = response3.getResponseText(),,,,2022-02-09 19:23:09,2022-02-09 19:23:09,0.000s,PASSED
"println(""
	"" + card_response + ""
	"")",,,,2022-02-09 19:23:09,2022-02-09 19:23:09,0.000s,PASSED
"containsString(response3, cardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:23:09,2022-02-09 19:23:09,0.000s,PASSED
